-114.3,-10.296,-10,-14.3,114.3,-10.296,10,-14.3,-1.43
-114.5,-10.585,-10,-14.5,114.5,-10.585,10,-14.5,-1.45
-114.7,-10.878,-10,-14.7,114.7,-10.878,10,-14.7,-1.47
-114.9,-11.175,-10,-14.9,114.9,-11.175,10,-14.9,-1.49
-115.1,-11.476,-10,-15.1,115.1,-11.476,10,-15.1,-1.51
-115.3,-11.781,-10,-15.3,115.3,-11.781,10,-15.3,-1.53
-115.5,-12.09,-10,-15.5,115.5,-12.09,10,-15.5,-1.55
-115.7,-12.403,-10,-15.7,115.7,-12.403,10,-15.7,-1.57
-115.9,-12.72,-10,-15.9,115.9,-12.72,10,-15.9,-1.59
-116.2,-13.203,-10,-16.2,116.2,-13.203,10,-16.2,-1.62
-116.3,-13.366,-10,-16.3,116.3,-13.366,10,-16.3,-1.63
-116.5,-13.695,-10,-16.5,116.5,-13.695,10,-16.5,-1.65
-116.7,-14.028,-10,-16.7,116.7,-14.028,10,-16.7,-1.67
-116.9,-14.365,-10,-16.9,116.9,-14.365,10,-16.9,-1.69
-117.1,-14.706,-10,-17.1,117.1,-14.706,10,-17.1,-1.71
-117.3,-15.051,-10,-17.3,117.3,-15.051,10,-17.3,-1.73
-117.5,-15.4,-10,-17.5,117.5,-15.4,10,-17.5,-1.75
-117.7,-15.753,-10,-17.7,117.7,-15.753,10,-17.7,-1.77
-117.9,-16.11,-10,-17.9,117.9,-16.11,10,-17.9,-1.79
-118.1,-16.471,-10,-18.1,118.1,-16.471,10,-18.1,-1.81
-118.3,-16.836,-10,-18.3,118.3,-16.836,10,-18.3,-1.83
-118.5,-17.205,-10,-18.5,118.5,-17.205,10,-18.5,-1.85
-118.7,-17.578,-10,-18.7,118.7,-17.578,10,-18.7,-1.87
-118.9,-17.955,-10,-18.9,118.9,-17.955,10,-18.9,-1.89
-119.1,-18.336,-10,-19.1,119.1,-18.336,10,-19.1,-1.91
-119.3,-18.721,-10,-19.3,119.3,-18.721,10,-19.3,-1.93
-119.5,-19.11,-10,-19.5,119.5,-19.11,10,-19.5,-1.95
-119.7,-19.503,-10,-19.7,119.7,-19.503,10,-19.7,-1.97
-119.9,-19.9,-10,-19.9,119.9,-19.9,10,-19.9,-1.99
-120.1,-20.301,-10,-20.1,120.1,-20.301,10,-20.1,-2.01
-120.3,-20.706,-10,-20.3,120.3,-20.706,10,-20.3,-2.03
-120.5,-21.115,-10,-20.5,120.5,-21.115,10,-20.5,-2.05
-120.7,-21.528,-10,-20.7,120.7,-21.528,10,-20.7,-2.07
